reviewId,content,clean_content,at,score
a906f67e-dd05-4843-84e5-58f5e38b03a7,bagus,bagus,2025-10-25 07:27:01,5
e17dfb9a-acf5-4f5b-8799-01228cefc409,"aplikasi taik, saya tidak melakukan transaksi, kenapa kena 120.000 vip help asu, mana sya tidak tau klo itu apa, STOP PAKAI DANA, SEDOT² UANG",aplikasi taik saya tidak melakukan transaksi kenapa kena vip help asu mana sya tidak tau klo itu apa stop pakai dana sedot uang,2025-10-25 07:23:32,1
8ee01d01-51bb-4362-9e8b-721473d254b6,bagus,bagus,2025-10-25 07:22:36,5
eea037e2-0985-4116-9c81-91e771183ae4,smkn kesini semakin naik z .....lamax g w pakai lg,smkn kesini semakin naik z lamax g w pakai lg,2025-10-25 07:22:09,1
d80596b6-b398-4016-912e-020b98dc0078,saya ingin bukti transaksi nya muncul di akun dana,saya ingin bukti transaksi nya muncul di akun dana,2025-10-25 07:20:41,1
12a06515-3436-4182-8668-7c37ce62c89e,Transaksi mudah dan sangat membantu.,transaksi mudah dan sangat membantu,2025-10-25 07:19:51,5
4d9a945f-7e61-4825-8609-42b66b6d8ad5,dana bagus,dana bagus,2025-10-25 07:17:39,5
3d4d65f2-8137-44d9-911c-3f14a7824568,"transaksi mudah, tapi saya butuh dana instant",transaksi mudah tapi saya butuh dana instant,2025-10-25 07:16:36,5
a7eed919-72bd-4776-a8ca-5090b4c38f1f,Dana premiumnya kurang mindahin nomor dana premium ke nomor baru harus verifikasi ke nomor yg hilang. (Baru nomor hpku hilang),dana premiumnya kurang mindahin nomor dana premium ke nomor baru harus verifikasi ke nomor yg hilang baru nomor hpku hilang,2025-10-25 07:11:37,2
59529d8e-efa4-4d63-a764-5281da104034,sangat bagus,sangat bagus,2025-10-25 07:10:40,5
8c9b873a-088c-4538-a6b8-7a5ea8f2e171,sangat membantu,sangat membantu,2025-10-25 07:04:19,4
56a83b2f-2689-4e23-ac6c-2ac74aeee4da,gimana ni mau login ke akun dana harus minta kode dari wa pdhl kartu yg no terdaftar udh hilang,gimana ni mau login ke akun dana harus minta kode dari wa pdhl kartu yg no terdaftar udh hilang,2025-10-25 07:04:12,2
07d2f062-a922-411f-921c-9ce8efdbb380,bagus,bagus,2025-10-25 07:03:07,5
8f49567b-b8cc-4737-bb53-68e056897094,"sangat membantu dan memudahkan untuk transaksi tanpa ribet, tanpa rek. tanpa kartu kredit. dan bisa ke semua alat transaksi",sangat membantu dan memudahkan untuk transaksi tanpa ribet tanpa rek tanpa kartu kredit dan bisa ke semua alat transaksi,2025-10-25 07:00:31,5
2f7de854-8dad-45d6-bc07-afc10438e754,top,top,2025-10-25 06:58:14,5
5a584071-78e9-4b7b-a0fc-ac746fd757e1,sangat mudah,sangat mudah,2025-10-25 06:57:06,5
55843a38-58b8-44fd-85e0-b39d79ded283,kecewa saldo tidak bisa buat transfer atau kirim uang ke bank atau pun ke dana yang lain. al hasil saldo dibekukan.,kecewa saldo tidak bisa buat transfer atau kirim uang ke bank atau pun ke dana yang lain al hasil saldo dibekukan,2025-10-25 06:51:53,2
3baccf98-aa3a-4344-bc9b-84a5a0bfbc03,tak kasih bintang 5.. siapa tau di muncul kan dana instan nya,tak kasih bintang siapa tau di muncul kan dana instan nya,2025-10-25 06:50:16,5
932b1dfc-1fa0-4881-a398-ab239c165644,okey,okey,2025-10-25 06:46:25,5
afb1b496-70b5-4bb0-bd89-0a79be9738e2,"isi flazz bca lewat dana sudah 14 hari saldo belum juga bertambah, harus nunggu brapa lama lagi?",isi flazz bca lewat dana sudah hari saldo belum juga bertambah harus nunggu brapa lama lagi,2025-10-25 06:43:58,1
d7388ae7-29e7-43e3-906b-f4c93fad2564,"tidak ada fitur dana cicil, padahal transaksi selalu besar, mengecewakan",tidak ada fitur dana cicil padahal transaksi selalu besar mengecewakan,2025-10-25 06:42:01,1
ed2020c6-e0d5-4106-bc07-66a5f05f9cd4,dana bisnis gk bisa di tarik gara2 vermuk gagal padahal vermuk di awal bisa pas mau narik dari bisnis ke dana biasa gk bisa aduh udh seminggu nyobak nanya cs gk ada solusi trrnyata banyak yg pakai dana bisnis susah di tarik agak kecewa si ya nominal 870rb mayan sih jadi mikir2 pakai aplikasi ini,dana bisnis gk bisa di tarik gara vermuk gagal padahal vermuk di awal bisa pas mau narik dari bisnis ke dana biasa gk bisa aduh udh seminggu nyobak nanya cs gk ada solusi trrnyata banyak yg pakai dana bisnis susah di tarik agak kecewa si ya nominal rb mayan sih jadi mikir pakai aplikasi ini,2025-10-25 06:41:57,1
252320e3-78fc-4a13-b66e-e687a4599dac,burik udh upgrade tiba tiba d suruh upgrade bnyk bug burik,burik udh upgrade tiba tiba d suruh upgrade bnyk bug burik,2025-10-25 06:41:14,1
df92ffca-e8af-4703-8f0e-277961aa6c2c,baik,baik,2025-10-25 06:39:17,4
f4e8ccf1-f805-4f44-8685-1aa692e59271,sanggat membantu,sanggat membantu,2025-10-25 06:38:25,5
19bee21f-d8cc-4730-b200-6633f1fe554b,mantulll pokoke,mantulll pokoke,2025-10-25 06:38:04,5
5418abe2-3d6b-420b-bec3-7ed12ae98317,mantaf,mantaf,2025-10-25 06:37:33,4
f77cd0d2-e31f-4a0b-9ebd-e72091a2aa94,bagus,bagus,2025-10-25 06:35:17,5
bf430c57-74b3-4d98-b5c5-b69579b1f347,Kren 🙏,kren,2025-10-25 06:34:15,5
a8ba8a4a-d61e-4fe8-b39f-c7d3ba69650a,geddeg bngt sumpah udah daftar premium tapi gagal padahal udah sesuai semua anj udah bayar penanganan lagi transaksi ga bisa di kembalikan ulang lagi anj emang dah,geddeg bngt sumpah udah daftar premium tapi gagal padahal udah sesuai semua anj udah bayar penanganan lagi transaksi ga bisa di kembalikan ulang lagi anj emang dah,2025-10-25 06:33:52,1
eea3d131-c3ba-4733-8eb8-f83419e61f53,aplikasi dana memang mantaap👍👍,aplikasi dana memang mantaap,2025-10-25 06:33:35,5
81ac58ff-44fe-4c22-974a-9b30314807e6,sampai saat ini alhamdulillah masih memuaskan karena bisa tf uang ke berbeda rekening dan ongkosnya gratis,sampai saat ini alhamdulillah masih memuaskan karena bisa tf uang ke berbeda rekening dan ongkosnya gratis,2025-10-25 06:32:58,5
15daf576-78bb-4f30-978d-cb2aeec4c5ab,Line,line,2025-10-25 06:25:55,5
